platform,text,link_count,emoji_count,hashtag_count,follower_ratio,duplicate_score,forward_count,urgent_words,rating,account_age_days,label
Email,Your account suspended click link,4,1,3,0,0,7,5,0,0,1
WhatsApp,Forward this message and win prize,4,6,0,0,0,54,5,0,0,1
Email,Your account suspended click link,4,1,7,0,0,19,7,0,0,1
YouTube,Very informative tutorial,1,4,4,0,0,35,1,0,698,0
Instagram,Free followers now,3,6,22,2.57,0,10,2,0,631,1
YouTube,Earn money fast click here,1,8,0,0,0,38,4,0,1132,1
SMS,"Win ₹50,000 now click here",0,1,6,0,0,2,5,0,0,1
Email,Your account suspended click link,2,5,10,0,0,22,5,0,0,1
Email,Your account suspended click link,4,3,7,0,0,7,6,0,0,1
Website Review,Fake review buy now,0,5,8,0,0.36,4,4,1,1395,1
WhatsApp,Family meeting at 6 PM,1,4,3,0,0,31,4,0,0,0
WhatsApp,Forward this message and win prize,4,4,7,0,0,65,3,0,0,1
Instagram,Free followers now,2,6,30,3.9,0,0,1,0,1772,1
WhatsApp,Family meeting at 6 PM,2,4,7,0,0,6,2,0,0,0
YouTube,Very informative tutorial,0,4,0,0,0,43,1,0,105,0
Email,Your account suspended click link,3,4,9,0,0,5,5,0,0,1
YouTube,Very informative tutorial,0,4,0,0,0,15,1,0,1821,0
SMS,"Win ₹50,000 now click here",1,3,2,0,0,27,7,0,0,1
Email,Meeting scheduled tomorrow,2,1,9,0,0,50,2,0,0,0
WhatsApp,Forward this message and win prize,4,2,1,0,0,70,2,0,0,1
WhatsApp,Forward this message and win prize,1,1,6,0,0,47,3,0,0,1
SMS,OTP for login is 445566,1,4,5,0,0,34,2,0,0,0
Email,Meeting scheduled tomorrow,1,2,1,0,0,14,3,0,0,0
WhatsApp,Family meeting at 6 PM,0,3,4,0,0,22,5,0,0,0
SMS,OTP for login is 445566,0,0,3,0,0,25,1,0,0,0
SMS,"Win ₹50,000 now click here",0,0,0,0,0,34,3,0,0,1
Instagram,Amazing photography,0,2,11,0.07,0,1,4,0,1040,0
YouTube,Earn money fast click here,4,7,3,0,0,41,2,0,211,1
Website Review,Fake review buy now,3,4,0,0,0.36,11,2,5,1321,1
Email,Meeting scheduled tomorrow,0,5,2,0,0,36,0,0,0,0
Instagram,Free followers now,0,8,30,4.09,0,34,1,0,1117,1
WhatsApp,Forward this message and win prize,1,6,3,0,0,62,4,0,0,1
YouTube,Very informative tutorial,0,4,3,0,0,1,3,0,1494,0
SMS,OTP for login is 445566,0,4,6,0,0,34,1,0,0,0
Instagram,Free followers now,1,9,27,2.55,0,22,4,0,991,1
YouTube,Very informative tutorial,0,5,8,0,0,24,1,0,113,0
Website Review,Best product ever highly recommended,2,1,5,0,0.96,46,5,2,1815,0
Website Review,Fake review buy now,2,2,3,0,0.88,7,5,5,882,1
YouTube,Very informative tutorial,1,4,6,0,0,1,1,0,737,0
SMS,OTP for login is 445566,0,5,6,0,0,41,3,0,0,0
SMS,OTP for login is 445566,2,5,0,0,0,27,1,0,0,0
Website Review,Fake review buy now,2,3,2,0,0.97,16,2,3,597,1
Website Review,Best product ever highly recommended,0,3,4,0,0.38,37,5,5,92,0
Email,Your account suspended click link,5,5,9,0,0,13,7,0,0,1
Email,Your account suspended click link,4,1,5,0,0,34,5,0,0,1
Email,Meeting scheduled tomorrow,0,3,1,0,0,47,5,0,0,0
YouTube,Very informative tutorial,1,6,5,0,0,7,3,0,1435,0
YouTube,Very informative tutorial,2,3,10,0,0,3,4,0,1311,0
SMS,"Win ₹50,000 now click here",2,4,8,0,0,50,8,0,0,1
Instagram,Free followers now,1,8,25,1.14,0,4,3,0,500,1
Email,Meeting scheduled tomorrow,0,0,3,0,0,1,2,0,0,0
Instagram,Amazing photography,0,5,8,2.51,0,7,4,0,1287,0
WhatsApp,Family meeting at 6 PM,0,3,1,0,0,40,2,0,0,0
Website Review,Best product ever highly recommended,1,4,9,0,0.78,3,4,2,1769,0
WhatsApp,Family meeting at 6 PM,2,3,10,0,0,33,3,0,0,0
YouTube,Very informative tutorial,2,5,7,0,0,35,0,0,1802,0
YouTube,Earn money fast click here,1,8,4,0,0,5,0,0,1851,1
Email,Your account suspended click link,3,3,8,0,0,37,10,0,0,1
WhatsApp,Forward this message and win prize,2,6,1,0,0,53,3,0,0,1
Website Review,Best product ever highly recommended,0,3,3,0,0.78,36,4,1,1555,0
Instagram,Free followers now,2,5,29,0.53,0,39,4,0,907,1
YouTube,Earn money fast click here,3,6,8,0,0,28,1,0,1110,1
YouTube,Earn money fast click here,1,7,3,0,0,22,2,0,1258,1
Website Review,Best product ever highly recommended,2,5,3,0,0.58,33,3,1,1251,0
SMS,OTP for login is 445566,2,0,2,0,0,50,1,0,0,0
SMS,OTP for login is 445566,0,2,6,0,0,48,2,0,0,0
Instagram,Amazing photography,0,4,9,0.86,0,50,0,0,1104,0
SMS,OTP for login is 445566,2,4,7,0,0,1,5,0,0,0
YouTube,Very informative tutorial,0,6,0,0,0,13,4,0,1111,0
SMS,"Win ₹50,000 now click here",1,0,10,0,0,9,6,0,0,1
SMS,OTP for login is 445566,0,4,6,0,0,11,1,0,0,0
YouTube,Earn money fast click here,3,8,3,0,0,36,4,0,503,1
WhatsApp,Forward this message and win prize,4,1,1,0,0,41,6,0,0,1
Email,Your account suspended click link,4,5,6,0,0,6,6,0,0,1
Email,Meeting scheduled tomorrow,1,5,1,0,0,6,0,0,0,0
Website Review,Best product ever highly recommended,1,4,5,0,0.8,9,1,1,499,0
SMS,"Win ₹50,000 now click here",1,5,0,0,0,42,5,0,0,1
WhatsApp,Forward this message and win prize,3,5,9,0,0,62,4,0,0,1
SMS,OTP for login is 445566,2,0,0,0,0,37,1,0,0,0
Email,Your account suspended click link,5,2,10,0,0,14,8,0,0,1
YouTube,Earn money fast click here,1,6,3,0,0,10,5,0,813,1
Website Review,Fake review buy now,3,6,10,0,0.26,18,3,4,1889,1
YouTube,Very informative tutorial,0,2,5,0,0,26,0,0,1800,0
Website Review,Fake review buy now,1,3,0,0,0.49,43,2,1,1499,1
Website Review,Fake review buy now,0,7,4,0,0.34,46,2,5,1619,1
Email,Meeting scheduled tomorrow,0,0,5,0,0,6,4,0,0,0
SMS,"Win ₹50,000 now click here",0,3,10,0,0,2,4,0,0,1
YouTube,Very informative tutorial,0,6,10,0,0,39,2,0,1869,0
WhatsApp,Forward this message and win prize,4,3,8,0,0,54,4,0,0,1
Email,Meeting scheduled tomorrow,2,5,8,0,0,14,4,0,0,0
WhatsApp,Family meeting at 6 PM,1,3,2,0,0,10,2,0,0,0
Website Review,Best product ever highly recommended,0,6,8,0,0.55,25,5,3,73,0
Instagram,Free followers now,2,7,28,1.79,0,2,4,0,709,1
WhatsApp,Forward this message and win prize,1,2,2,0,0,55,6,0,0,1
Email,Your account suspended click link,3,3,8,0,0,38,10,0,0,1
SMS,"Win ₹50,000 now click here",2,5,8,0,0,45,7,0,0,1
Instagram,Free followers now,2,6,21,2.22,0,23,5,0,1415,1
WhatsApp,Family meeting at 6 PM,0,0,4,0,0,22,2,0,0,0
Instagram,Amazing photography,1,4,13,2.2,0,21,1,0,1200,0
Email,Your account suspended click link,3,0,8,0,0,39,8,0,0,1
YouTube,Earn money fast click here,2,8,7,0,0,39,2,0,113,1
WhatsApp,Family meeting at 6 PM,0,2,3,0,0,46,5,0,0,0
Instagram,Free followers now,2,5,21,2.62,0,16,0,0,115,1
Instagram,Free followers now,1,7,29,2.17,0,14,0,0,1539,1
WhatsApp,Family meeting at 6 PM,0,5,3,0,0,15,2,0,0,0
Instagram,Free followers now,1,6,21,4.77,0,50,5,0,348,1
Email,Meeting scheduled tomorrow,1,5,9,0,0,5,2,0,0,0
SMS,OTP for login is 445566,2,3,8,0,0,18,4,0,0,0
Instagram,Free followers now,0,8,27,2.06,0,10,2,0,1780,1
YouTube,Earn money fast click here,2,5,1,0,0,50,0,0,325,1
Website Review,Fake review buy now,3,5,1,0,0.48,37,4,1,1385,1
YouTube,Very informative tutorial,0,2,1,0,0,22,2,0,1676,0
WhatsApp,Family meeting at 6 PM,0,0,4,0,0,3,1,0,0,0
WhatsApp,Family meeting at 6 PM,0,4,9,0,0,7,1,0,0,0
YouTube,Very informative tutorial,0,1,7,0,0,10,0,0,1665,0
Email,Meeting scheduled tomorrow,0,5,9,0,0,33,4,0,0,0
SMS,OTP for login is 445566,1,3,8,0,0,28,3,0,0,0
YouTube,Very informative tutorial,0,5,0,0,0,17,3,0,320,0
Email,Meeting scheduled tomorrow,0,3,4,0,0,13,2,0,0,0
Instagram,Free followers now,3,5,28,1.5,0,46,4,0,547,1
Website Review,Best product ever highly recommended,0,1,6,0,0.47,46,4,3,393,0
Instagram,Amazing photography,0,4,8,4.42,0,12,2,0,774,0
Website Review,Fake review buy now,3,3,4,0,0.13,50,4,2,1600,1
Website Review,Fake review buy now,3,6,4,0,0.6,18,0,5,412,1
WhatsApp,Family meeting at 6 PM,2,3,4,0,0,50,5,0,0,0
Instagram,Free followers now,3,4,25,3.11,0,48,5,0,1490,1
SMS,OTP for login is 445566,1,3,4,0,0,2,2,0,0,0
Email,Meeting scheduled tomorrow,0,2,10,0,0,12,3,0,0,0
Email,Meeting scheduled tomorrow,2,4,10,0,0,40,2,0,0,0
Website Review,Fake review buy now,0,6,5,0,0.94,29,4,1,632,1
Website Review,Best product ever highly recommended,1,1,4,0,0.21,24,0,1,465,0
Email,Your account suspended click link,5,0,8,0,0,41,10,0,0,1
WhatsApp,Family meeting at 6 PM,1,3,1,0,0,29,4,0,0,0
Instagram,Amazing photography,0,3,9,2.02,0,47,5,0,1236,0
Website Review,Best product ever highly recommended,0,2,9,0,0.41,41,0,5,1658,0
Website Review,Best product ever highly recommended,1,2,3,0,0.61,19,5,5,720,0
Website Review,Best product ever highly recommended,0,5,2,0,0.32,23,5,2,1476,0
Instagram,Amazing photography,2,2,5,3.56,0,27,4,0,1470,0
WhatsApp,Family meeting at 6 PM,0,0,8,0,0,23,1,0,0,0
Website Review,Fake review buy now,0,3,7,0,0.59,42,4,3,1885,1
Instagram,Amazing photography,2,2,10,2.15,0,8,0,0,1610,0
Instagram,Amazing photography,1,5,15,4.25,0,43,5,0,296,0
WhatsApp,Family meeting at 6 PM,0,0,3,0,0,0,0,0,0,0
WhatsApp,Forward this message and win prize,1,1,9,0,0,40,4,0,0,1
WhatsApp,Forward this message and win prize,1,5,3,0,0,35,6,0,0,1
WhatsApp,Forward this message and win prize,1,4,2,0,0,30,7,0,0,1
SMS,"Win ₹50,000 now click here",1,5,9,0,0,30,8,0,0,1
Instagram,Free followers now,2,6,25,1.31,0,26,5,0,696,1
SMS,OTP for login is 445566,1,4,10,0,0,38,2,0,0,0
Instagram,Amazing photography,0,6,8,4.38,0,27,2,0,458,0
WhatsApp,Family meeting at 6 PM,0,4,3,0,0,22,5,0,0,0
YouTube,Very informative tutorial,2,4,9,0,0,37,5,0,181,0
YouTube,Earn money fast click here,4,5,9,0,0,9,0,0,1571,1
Email,Meeting scheduled tomorrow,1,2,1,0,0,41,3,0,0,0
Email,Meeting scheduled tomorrow,0,2,10,0,0,19,3,0,0,0
Website Review,Best product ever highly recommended,1,6,3,0,0.67,36,3,2,1806,0
YouTube,Very informative tutorial,2,1,9,0,0,1,4,0,730,0
Instagram,Amazing photography,2,2,6,4.93,0,4,5,0,745,0
Website Review,Best product ever highly recommended,0,3,5,0,0.68,47,2,3,168,0
SMS,"Win ₹50,000 now click here",2,3,8,0,0,7,3,0,0,1
SMS,"Win ₹50,000 now click here",2,1,5,0,0,49,7,0,0,1
Instagram,Free followers now,1,8,20,3.29,0,43,2,0,548,1
Email,Your account suspended click link,2,4,2,0,0,10,7,0,0,1
Website Review,Fake review buy now,2,4,8,0,0.37,35,5,2,1349,1
Email,Meeting scheduled tomorrow,1,3,7,0,0,35,1,0,0,0
Email,Meeting scheduled tomorrow,0,5,9,0,0,40,1,0,0,0
Website Review,Fake review buy now,2,2,6,0,0.2,6,1,1,13,1
WhatsApp,Family meeting at 6 PM,1,2,5,0,0,0,3,0,0,0
WhatsApp,Forward this message and win prize,2,2,6,0,0,48,3,0,0,1
YouTube,Very informative tutorial,0,2,7,0,0,35,4,0,1162,0
Email,Meeting scheduled tomorrow,0,4,10,0,0,10,1,0,0,0
Website Review,Fake review buy now,0,5,10,0,0.88,19,1,3,1548,1
Website Review,Best product ever highly recommended,2,5,7,0,0.55,50,4,1,1908,0
Instagram,Free followers now,2,9,20,3.13,0,29,2,0,219,1
WhatsApp,Forward this message and win prize,4,1,3,0,0,42,7,0,0,1
SMS,OTP for login is 445566,1,5,10,0,0,2,1,0,0,0
WhatsApp,Family meeting at 6 PM,2,4,1,0,0,35,1,0,0,0
YouTube,Earn money fast click here,1,9,0,0,0,2,5,0,1507,1
Instagram,Amazing photography,0,2,6,4.48,0,45,2,0,507,0
YouTube,Very informative tutorial,2,2,7,0,0,38,1,0,839,0
Website Review,Best product ever highly recommended,0,4,9,0,0.47,17,1,4,1449,0
Website Review,Best product ever highly recommended,0,5,3,0,0.65,10,0,5,1202,0
SMS,"Win ₹50,000 now click here",0,0,4,0,0,3,3,0,0,1
Email,Your account suspended click link,5,3,5,0,0,48,7,0,0,1
Instagram,Amazing photography,1,6,7,0.49,0,32,3,0,649,0
Email,Your account suspended click link,4,0,7,0,0,48,9,0,0,1
YouTube,Earn money fast click here,3,9,7,0,0,0,3,0,459,1
YouTube,Very informative tutorial,0,5,6,0,0,47,4,0,388,0
Email,Your account suspended click link,2,3,6,0,0,29,10,0,0,1
Website Review,Fake review buy now,0,6,10,0,0.41,41,2,3,1092,1
Instagram,Amazing photography,0,6,13,1.92,0,48,3,0,1228,0
WhatsApp,Forward this message and win prize,4,1,9,0,0,25,6,0,0,1
Website Review,Fake review buy now,1,4,9,0,0.12,4,1,2,481,1
Website Review,Best product ever highly recommended,0,6,4,0,0.98,13,2,4,1105,0
SMS,"Win ₹50,000 now click here",3,1,7,0,0,35,4,0,0,1
Instagram,Free followers now,0,6,23,0.2,0,31,5,0,203,1
Email,Meeting scheduled tomorrow,1,3,7,0,0,20,1,0,0,0
WhatsApp,Family meeting at 6 PM,1,2,3,0,0,41,3,0,0,0
Email,Your account suspended click link,2,3,8,0,0,35,8,0,0,1
SMS,OTP for login is 445566,0,0,7,0,0,0,1,0,0,0
WhatsApp,Family meeting at 6 PM,0,1,8,0,0,19,2,0,0,0
Instagram,Free followers now,1,9,27,2.91,0,42,5,0,1845,1
Instagram,Amazing photography,0,3,5,1.16,0,18,3,0,1442,0
Instagram,Amazing photography,1,6,6,2.75,0,25,1,0,501,0
SMS,"Win ₹50,000 now click here",2,4,1,0,0,12,8,0,0,1
WhatsApp,Family meeting at 6 PM,0,3,4,0,0,0,5,0,0,0
SMS,OTP for login is 445566,1,0,3,0,0,19,2,0,0,0
Email,Meeting scheduled tomorrow,2,3,10,0,0,45,0,0,0,0
Website Review,Fake review buy now,3,5,9,0,0.2,44,2,4,367,1
WhatsApp,Family meeting at 6 PM,0,2,2,0,0,35,0,0,0,0
Website Review,Best product ever highly recommended,2,1,7,0,0.84,46,5,1,1061,0
Website Review,Fake review buy now,0,2,1,0,0.9,28,5,2,1614,1
SMS,OTP for login is 445566,1,4,9,0,0,37,4,0,0,0
Email,Meeting scheduled tomorrow,1,4,2,0,0,46,3,0,0,0
Email,Your account suspended click link,5,4,10,0,0,6,8,0,0,1
WhatsApp,Forward this message and win prize,3,2,4,0,0,63,2,0,0,1
YouTube,Earn money fast click here,1,5,4,0,0,50,0,0,1583,1
SMS,OTP for login is 445566,1,1,8,0,0,47,1,0,0,0
SMS,OTP for login is 445566,0,3,8,0,0,5,2,0,0,0
Website Review,Fake review buy now,0,3,2,0,0.93,24,3,3,1466,1
YouTube,Very informative tutorial,2,1,7,0,0,24,1,0,1920,0
WhatsApp,Family meeting at 6 PM,0,2,2,0,0,37,3,0,0,0
WhatsApp,Family meeting at 6 PM,1,5,9,0,0,30,5,0,0,0
Email,Meeting scheduled tomorrow,0,1,5,0,0,28,1,0,0,0
WhatsApp,Family meeting at 6 PM,2,2,10,0,0,44,5,0,0,0
SMS,"Win ₹50,000 now click here",1,1,0,0,0,28,4,0,0,1
Instagram,Amazing photography,0,2,13,2.59,0,2,4,0,301,0
SMS,"Win ₹50,000 now click here",3,5,6,0,0,22,4,0,0,1
Website Review,Best product ever highly recommended,1,5,1,0,0.56,45,5,3,1126,0
SMS,OTP for login is 445566,1,3,1,0,0,49,1,0,0,0
SMS,"Win ₹50,000 now click here",2,4,2,0,0,13,7,0,0,1
Website Review,Fake review buy now,3,7,3,0,0.89,14,1,5,183,1
Website Review,Fake review buy now,3,7,8,0,0.26,0,1,5,605,1
WhatsApp,Family meeting at 6 PM,1,5,10,0,0,9,4,0,0,0
